Naslov,Kategorija,Tekst
Daniil Medvedev u polufinalu turniru u Dubaiju: Spektakularan meč,Tenis,"Andy Murray je na turniru Davis Cupu ostvario važnu pobjedu nad Taylor Fritz (7:7, 4:5). Meč je bio obilježen izvanrednim returnerskim igrama i dugim izmjenama. Andy Murray je posebno bio napadan u napadu, rješavajući teške lopte s lakoćom koja je oduševila publiku. Navijači u tribinama stvorili su nevjerojatnu atmosferu, a Andy Murray je povremeno tražio energiju od gledatelja. U presudnim trenucima meča pokazao je mentalnu snagu koja ga krasi. Sljedeći protivnik Andy Murray bit će određen u danas u drugom meču."
Šibenik pobijedio u derbiju: Navijači slavili cijelu noć,Nogomet,"U uzbudljivoj utakmici 26. kola HNL-a, Rijeka je na svom terenu svladao Varaždin rezultatom 1:0. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Rijeka je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Duje Ćaleta-Car čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Ivaylo Petev. Trener Ivaylo Petev naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Robert Whittaker pobijedio presudom sudaca u uzbudljivoj borbi pet rundi,MMA,"Spektakularna večer MMA borbi u organizaciji PFL privukla je pažnju ljubitelja borilačkih sportova širom planeta. Glavna borba između Ante Delija i Jiří Procházka bila je pravi rat od prve do posljednje sekunde. 'Jiří Procházka je bio izvanredan protivnik. Morao sam dati sve od sebe i na kraju sam zadovoljan nastupom', rekao je Ante Delija nakon borbe microfona. Borba je bila obilježena uzbudljivim izmjenama udaraca u stajaćem, ali i sjajnom grappling igrom obojice boraca. Publika je bila na nogama kroz gotovo cijeli dvoboj, a promotori već govore o potencijalnom rematch-u. Jiří Procházka je u izjavi čestitao rivalu: 'On je bio bolji večeras, ali to nije kraj moje priče.'"
Rijeka pobijedio u derbiju: Navijači slavili cijelu noć,Nogomet,"U uzbudljivoj utakmici 16. kola HNL-a, Slaven Belupo je na svom terenu svladao Hajduk Split rezultatom 0:0. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Slaven Belupo je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Marcelo Brozović čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Zlatko Dalić. Sljedeća utakmica Slaven Belupo na rasporedu je za tjedan dana, a Hajduk Split dočekuje rivala na svom terenu."
Transferna bomba: Benfica nudi rekordnu odštetu za Ivan Perišić,Nogomet,"U uzbudljivoj utakmici 2. kola HNL-a, Gorica je na svom terenu svladao Hajduk Split rezultatom 2:2. Ključan pogodak postigao je Mario Pašalić u 30. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Gonzalo Garcia je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Hajduk Split je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Gorica priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Trener Gonzalo Garcia naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Ante Delija eliminirao favoriziranog suparnika: Šok na UFC-u,MMA,"Borba večeri na UFC eventu pružila je navijačima nezaboravnih trenutaka. Khabib Nurmagomedov je pokazao sve dimenzije svog borilačkog umijeća. Khabib Nurmagomedov je dominirao u prvim rundama zahvaljujući izvrsnoj udaračkoj tehnici. Trener iz kuta je savjetovao da pazi na obranu, a Brandon Moreno je bio spreman iskoristiti svaku grešku. 'Bio sam spreman na svaki scenarij', rekao je pobjednik. 'Trenirali smo specifično za ovu borbu i strategija je funkcionirala savršeno.' Brandon Moreno je u izjavi čestitao rivalu: 'On je bio bolji večeras, ali to nije kraj moje priče.'"
Petra Martić na US Open: Bori se za titulu,Tenis,"Donna Vekić nastavlja sjajan nastup na turniru i prošla je u sljedeći krug zahvaljujući izvanrednoj igri. Analiza igre pokazuje da je Stan Wawrinka dominirao prvim servisom i napravio manje neforsiranih pogrešaka od rivala. 'Ovo je turnir koji posebno volim i uvijek se dobro osjećam ovdje', kazao je. Taylor Fritz je bio razočaran porazom, ali čestitao je rivalu. 'On je igrao izvanredno danas, zaslužio je pobjedu. Nadam se da ćemo se opet sresti u finalu', kratko je rekao poraženi finalist. Stan Wawrinka je sada u četvrtfinalu i nastavlja borbu za naslov."
Alexander Albon osvoji prvu pobjedu sezone: Emotivne scene na podiju,Formula 1,"Stratezi momčadi Haas pokazali su izvanrednu sposobnost planiranja i Max Verstappen je to pretvorio u pobjedu na VN u Madridu. Analize pokazuju da je Max Verstappen bio najbrži kroz gotovo sve sektore staze. Degradacija guma bila je ključ, a Haas je savršeno predvidio pravi trenutak za izmjenu. Rival Nico Hülkenberg ostao je na starijim gumama predugo, što je koštalo dragocjenih sekundi. Na kraju se poredak na stupcima podija pokazao kao odraz stvarne brzine obaju bolida kroz cijelu vikend. Max Verstappen je sada na čelu Svjetskog prvenstava s bodovnom prednošću."
Ozljeda potresla Lokomotiva: Gabrijel Vidović izvan stroja tjednima,Nogomet,"Veliki derbi između Varaždin i Rijeka privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 2:2. Reprezentativac Duje Ćaleta-Car još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Duje Ćaleta-Car nakon utakmice. Rijeka nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Patrik Pavlešić vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Gonzalo Garcia naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Tin Jedvaj odlazi u PSG? Pregovori u tijeku,Nogomet,"Trener Ivaylo Petev bio je vidljivo zadovoljan nastupom svoje momčadi koja je sigurnom igrom svladala Rijeka. Utakmica je bila obilježena borbenim Football-om bez puno tehničke nadmoći. Oba trenera su taktički dobro pripremila momčadi, a razliku je napravila kvaliteta individualaca. Varaždin je pokazao da je sposoban pobijediti i kada nije u najboljoj formi, što govori o mentalnoj jakosti ove momčadi. Posebno se istakao Lovro Majer čije su igre bile ključne u kreativnom dijelu igre. 'Zadovoljan sam kako smo se borili, ali znam da moramo igrati bolje ako želimo veliku titulu', zaključio je Ivaylo Petev. Sljedeća utakmica Varaždin na rasporedu je za tjedan dana, a Rijeka dočekuje rivala na svom terenu."
Ivan Perišić debitirao za reprezentaciju: 'Bio sam jako nervozan',Nogomet,"Trener Goran Tomić bio je vidljivo zadovoljan nastupom svoje momčadi koja je sigurnom igrom svladala Hajduk Split. Ključan pogodak postigao je Mario Mandžukić u 53. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Goran Tomić je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Hajduk Split je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Istra priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Istra nastavlja dobru formu i ostaje u vrhu ljestvice, dok Hajduk Split mora hitno popraviti igru."
"Velika senzacija u NBA-u: Pistons eliminiran, Paul George u suzama",Košarka,"Hrvatski reprezentativac Ivica Zubac još jednom je pokazao svoju klasu u NBA utakmici. Završio je s impresivnih 19 poena dok je njegova momčad slavila. 'Znali smo da će biti teška utakmica, ali vjerovao sam u suigrače. Timska energija bila je nevjerojatna večeras', izjavio je Kawhi Leonard nakon meča. Trener je pohvalio momčad za obrambenu disciplinu u završnici. Thunder je imao vode u trećoj četvrtini, ali serija poena domaćina preokrenula je tijek dvoboja. Posebno je oduševila suradnja između Kawhi Leonard i suigrača na malom prostoru, koja je stvorio niz lakih koševa. Celtics nastavlja odličnu seriju i učvršćuje poziciju na ljestvici. Sljedeći dvoboj na rasporedu je za dva dana."
Ivan Trajković donosi medalju: Zlatni nastup na Europskom taekwondo prvenstvu,Tekvondo,"Sjajni Mahama Cho proslavio je veliku pobjedu na Grand Prix finalu pobijedivši u finalu Zara Grout. Nastup je oduševio sve prisutne. 'Mahama Cho je bio izvanredan kroz cijeli turnir. Svaka borba bila je na visokoj razini i finals je bila kruna svega', rekao je trener nacionalne reprezentacije. Borba u finalu bila je obilježena tehničkim izvedbama i taktičkim duelima. Mahama Cho je bio precizan u napadima i čvrst u obrani, što je dalo prednost koja je na kraju bila presudna. Publika je burno pozdravljala svaki dobar potez. Hrvatska taekwondo reprezentacija nastavlja odlične rezultate na međunarodnoj sceni."
Mladi vaterpolist Marko Žuvela zadivio Europe: Scouti na tribinama,Vaterpolo,"VK Mladost nastavio je sjazan niz u Europskoj ligi pobijedivši rivala bez puno muke. Strateg hrvatske reprezentacije posebno je pohvalio obranu koja nije dopuštala lakim pogodcima. 'Kada branimo ovako kompaktno, teško nas je zabiti', rekao je. Tin Brubnjak se posebno istaknuo u tranzicijama i predvodio je višestruke protunapade koji su rezultirali golovima. Publika je bila oduševljena visokim tempom igre i tehničkim vještinama obaju ekipa. Sljedeća utakmica bit će još teži ispit, ali cijela momčad je samopouzdana."
Hrvatska vaterpolska liga: Primorje na vrhu lestvice,Vaterpolo,"VK Medvešćak nastavio je sjazan niz u Europskoj ligi pobijedivši rivala bez puno muke. Hrvatska je dominirala u prvoj četvrtini zahvaljujući izvrsnoj igri u napadu i čvrstoj obrani. Vratar je bio neprobojni zid za suparničke napadače koji su imali nekoliko dobrih šuteva. 'Ovako moramo igrati svaki meč. Koncentracija je bila na vrhuncu i tome se veselim', kazao je Ante Vrlić nakon meča. Hrvatska je ukupno postigla 12 pogodaka uz odličnu timsku suradnju. Ante Vrlić: 'Nije bilo lako, ali znali smo da možemo. Idemo dalje!'"
Petra Martić na Roland Garros: Bori se za titulu,Tenis,"Roger Federer je na turniru Wimbledon ostvario važnu pobjedu nad Stan Wawrinka (5:7, 6:6). Analiza igre pokazuje da je Roger Federer dominirao prvim servisom i napravio manje neforsiranih pogrešaka od rivala. 'Ovo je turnir koji posebno volim i uvijek se dobro osjećam ovdje', kazao je. Stan Wawrinka je bio razočaran porazom, ali čestitao je rivalu. 'On je igrao izvanredno danas, zaslužio je pobjedu. Nadam se da ćemo se opet sresti u finalu', kratko je rekao poraženi finalist. Roger Federer je sada u polufinalu i nastavlja borbu za naslov."
Joško Gvardiol odlazi u Juventus? Pregovori u tijeku,Nogomet,"Veliki derbi između Lokomotiva i Dinamo Zagreb privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 1:0. Ključan pogodak postigao je Ivica Olić u 37. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Simon Rožman je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Dinamo Zagreb je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Lokomotiva priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Sljedeća utakmica Lokomotiva na rasporedu je za tjedan dana, a Dinamo Zagreb dočekuje rivala na svom terenu."
Charles Leclerc osvoji prvu pobjedu sezone: Emotivne scene na podiju,Formula 1,"Velika nagrada Formule 1 u Melbourne pružila je navijačima nezaboravnu utrku. Max Verstappen je trijumfovao ispred Kevin Magnussen, a razlika na kraju je bila 16.787 sekundi. Utrka je bila obilježena dramatičnim pitstopovima i taktičkim duelima. Max Verstappen je izašao iz boksa na idealnoj poziciji i zadržao vodstvo sve do cilja. Momčad Red Bull bila je besprijekorna u izvršavanju strategije. 'Cijela ekipa je radila sjajno, od inženjera do mehaničara — svi su zaslužni za ovu pobjedu', kazao je Max Verstappen na podiju dok je šampanjac tekao. Ukupni poredak u Svjetskom prvenstvu je promijenjen, a sljedeća utrka je za dvije tjedne."
Slavlje na Poljudu: Istra prvak Hrvatske!,Nogomet,"Europski ambicije Hajduk Split ostaju žive nakon pobjede nad Šibenik u 21. kolu. Reprezentativac Josip Stanišić još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Josip Stanišić nakon utakmice. Šibenik nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Ante Čulina vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Zlatko Dalić naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Jug Dubrovnik u finalu Europske ligé: Povijesni uspjeh kluba,Vaterpolo,"Uzbudljiva utakmica vaterpolskog turnira završila je pobjedom hrvatskih igrača. Konstantin Harkov je bio ključan u napadu i ponovo dokazao zašto je jedan od najcjenjenijih igrača na ovoj poziciji. Hrvatska je dominirala u prvoj četvrtini zahvaljujući izvrsnoj igri u napadu i čvrstoj obrani. Vratar je bio neprobojni zid za suparničke napadače koji su imali nekoliko dobrih šuteva. 'Ovako moramo igrati svaki meč. Koncentracija je bila na vrhuncu i tome se veselim', kazao je Konstantin Harkov nakon meča. Hrvatska je ukupno postigla 15 pogodaka uz odličnu timsku suradnju. Sljedeća utakmica bit će još teži ispit, ali cijela momčad je samopouzdana."
Zlatko Dalić najavio sastav: Ovo su igrači koji idu na turnir,Nogomet,"Trener Ivaylo Petev bio je vidljivo zadovoljan nastupom svoje momčadi koja je sigurnom igrom svladala Rijeka. Ključan pogodak postigao je Borna Sosa u 89. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Ivaylo Petev je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Rijeka je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Varaždin priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Varaždin nastavlja dobru formu i ostaje u vrhu ljestvice, dok Rijeka mora hitno popraviti igru."
Mladi talent Šibenik oduševio skautere: Transfer pred vratima,Nogomet,"Europski ambicije Istra ostaju žive nakon pobjede nad Varaždin u 13. kolu. Ključan pogodak postigao je Josip Stanišić u 52. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Ivaylo Petev je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Varaždin je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Istra priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Istra nastavlja dobru formu i ostaje u vrhu ljestvice, dok Varaždin mora hitno popraviti igru."
Novi trener Šibenik: Zlatko Dalić potpisao dvogodišnji ugovor,Nogomet,"U uzbudljivoj utakmici 7. kola HNL-a, Istra je na svom terenu svladao Hajduk Split rezultatom 1:2. Ključan pogodak postigao je Darijo Srna u 25. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Gonzalo Garcia je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Hajduk Split je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Istra priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Sljedeća utakmica Istra na rasporedu je za tjedan dana, a Hajduk Split dočekuje rivala na svom terenu."
Hrvatska rukomet reprezentacija: Dalić najavio nova lica za Europsko,Rukomet,"U uzbudljivoj utakmici Europske rukometne lige, Sporting CP je svladao Vardar rezultatom 41:31. Utakmica je bila obilježena velikom atmosferom u dvorani i izvanrednim borilačkim duhom obiju ekipa. Tin Lučin je preuzeo odgovornost u ključnim trenucima kada je momčad trebala pogotke. Trener je naglasio zadovoljstvo kolektivnim pristupom: 'Svi su dali maksimum. Ovo je pravi tim koji zna što želi.' Sljedeća utakmica na rasporedu je za sedam dana, a momčad se nada nastaviti ovakav niz."
Mladi talent Osijek oduševio skautere: Transfer pred vratima,Nogomet,"U uzbudljivoj utakmici 34. kola HNL-a, Istra je na svom terenu svladao Gorica rezultatom 4:3. Ključan pogodak postigao je Mario Pašalić u 58. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Zlatko Dalić je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Gorica je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Istra priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Istra nastavlja dobru formu i ostaje u vrhu ljestvice, dok Gorica mora hitno popraviti igru."
NBA draft: Mladi Hrvat izabran u prvoj rundi,Košarka,"Uzbudljiva NBA utakmica između Pacers i Spurs pružila je navijačima pravu poslasticu. Pobijedio je Pacers sa 90:110, a junaka je opet imao u osobi Paul George. Meč je bio obilježen izvanrednom atmosferom u dvorani. Pacers je od prve četvrtine pokazao da je spreman za pobjedu. Obrana je bila na iznimno visokoj razini, što je onemogućilo Spurs da ostvari svoju igru u napadu. U završnici su hladnokrvno izveli ključne poteze i osigurali vrijednu pobjedu na domaćem parketu. Bojan Bogdanović nakon utakmice: 'Ovo je posebna noć za mene i cijelu ekipu. Idemo dalje, još nam je puno posla pred sobom.'"
Josip Stanišić debitirao za reprezentaciju: 'Bio sam jako nervozan',Nogomet,"Veliki derbi između Slaven Belupo i Gorica privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 0:2. Ključan pogodak postigao je Ivo Grbić u 63. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Nenad Bjelica je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Gorica je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Slaven Belupo priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Sljedeća utakmica Slaven Belupo na rasporedu je za tjedan dana, a Gorica dočekuje rivala na svom terenu."
Hajduk Split razbio Istra: Dominantna izvedba pred punim tribinama,Nogomet,"U uzbudljivoj utakmici 5. kola HNL-a, Šibenik je na svom terenu svladao Lokomotiva rezultatom 4:2. Ključan pogodak postigao je Josip Stanišić u 67. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Ante Čačić je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Lokomotiva je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Šibenik priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Šibenik nastavlja dobru formu i ostaje u vrhu ljestvice, dok Lokomotiva mora hitno popraviti igru."
Tottenham zainteresiran za Ivan Perišić: Cijena raste,Nogomet,"Veliki derbi između Osijek i Varaždin privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 2:0. Ključan pogodak postigao je Mario Pašalić u 54. minuti kada je majstorski iskoristio asistenciju suigrača. Gol je proslavio trčanjem prema tribinama gdje su ga navijači dočekali s ovacijama. Trener Simon Rožman je naglasio kako je momčad radila taktički disciplinirano i zasluženo uzela tri boda. 'Ovo nam je iznimno važna pobjeda u kontekstu borbe za naslov ili Europu. Igrači su dali sve od sebe i to je nešto što cijenim', rekao je strateg. Varaždin je imao nekoliko dobrih prilika, posebice u prvom poluvremenu, ali vratar je bio na visini zadatka. Navijači Osijek priredili su fantastičnu atmosferu i time zasigurno pomogli momčadi u teškim trenucima utakmice. Trener Simon Rožman naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Slavlje na Gradskom vrtu: Rijeka prvak Hrvatske!,Nogomet,"Europski ambicije Istra ostaju žive nakon pobjede nad Rijeka u 17. kolu. Reprezentativac Ivica Olić još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Ivica Olić nakon utakmice. Rijeka nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Duje Strukan vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Zlatko Dalić naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Taekwondo prvak svijeta: Jun Jang trijumfovao na turniru,Tekvondo,"Na Svjetskom prvenstvu odigrano je finale taekwondoa u kojemu je nastupao i naš predstavnik. Borba je bila napet i uzbudljiva od prve do zadnje sekunde. Finalni dvoboj između Jun Jang i Ivan Trajković pružio je pravi šou svim ljubiteljima borilačkih vještina. Tehničke izvedbe bile su na vrhunskoj razini, a svaki bod slavilo se kao gol na utakmici. Jun Jang je preuzeo vodstvo u drugoj rundi i zadržao ga do kraja, pokazujući mentalnu čvrstoću i sportsku izvrsnost. 'Sanjao sam ovaj trenutak godinama', rekao je s medaljem oko vrata. Jun Jang planira nastaviti s treninzima i cilj mu je nastup na Olimpijskim igrama."
Dion Drena Beljo postigao hat-trick i odveo Istra na vrh tablice,Nogomet,"Veliki derbi između Varaždin i Osijek privukao je pažnju navijača diljem Hrvatske. Utakmica je završila 0:0. Reprezentativac Darijo Srna još jednom je pokazao zašto je jedan od najcjenjenijih igrača domaće scene. Njegova izvedba bila je na izuzetno visokoj razini kroz cijeli dvoboj. 'Najvažnije su bile tri bodove, osobne statistike mi nisu toliko bitne', rekao je skromno Darijo Srna nakon utakmice. Osijek nije uspio ostvariti preokret unatoč pojačanom pritisku u završnici. Sudac Ivan Bebek vodio je utakmicu bez značajnijih kontroverzi, a VAR je intervenirao jednom kako bi poništio navodni autogol. Trener Ante Čačić naglasio je da momčad mora ostati fokusirana jer sezone još ima dosta, a svaki bod je dragocjen."
Hrvatska rukomet reprezentacija: Dalić najavio nova lica za Europsko,Rukomet,"U uzbudljivoj utakmici Europske rukometne lige, GOG je svladao Vardar rezultatom 34:26. 'Igor Karačić je danas igrao na nevjerojatnoj razini. Svaka njegova lopta bila je prijetnja, a obrana suparnika nije znala kako ga zaustaviti', hvalio je trener. Posebno su bili efektivni izlazi iz protunapada u kojima je hrvatska momčad pokazala svoju brzinu i tehničku preciznost. U obrani su bile rijetke pogreške, a vratar je bio pravi zid za suparničke šutere. Sljedeća utakmica na rasporedu je za sedam dana, a momčad se nada nastaviti ovakav niz."
Transfer šokira Europu: Krešimir Ćosić prelazi u Fenerbahče,Košarka,"U spektakularnoj košarkaškoj večeri, Bulls je savladao Nuggets rezultatom 125:86. Ključnu ulogu odigrao je Mario Hezonja koji je završio meč s 47 poena, 9 skokova i 3 asistencija. 'Znali smo da će biti teška utakmica, ali vjerovao sam u suigrače. Timska energija bila je nevjerojatna večeras', izjavio je Mario Hezonja nakon meča. Trener je pohvalio momčad za obrambenu disciplinu u završnici. Nuggets je imao vode u trećoj četvrtini, ali serija poena domaćina preokrenula je tijek dvoboja. Posebno je oduševila suradnja između Mario Hezonja i suigrača na malom prostoru, koja je stvorio niz lakih koševa. Ova pobjeda Bulls-u otvara vrata doigravanje, što je bio glavni cilj ove sezone."
"Kontroverzna odluka na borbi: Jon Jones bijesan, traži rematc",MMA,"Borba večeri na ONE Championship eventu pružila je navijačima nezaboravnih trenutaka. Mirko Filipović je pokazao sve dimenzije svog borilačkog umijeća. Mirko Filipović je dominirao u prvim rundama zahvaljujući izvrsnoj udaračkoj tehnici. Trener iz kuta je savjetovao da pazi na obranu, a Conor McGregor je bio spreman iskoristiti svaku grešku. 'Bio sam spreman na svaki scenarij', rekao je pobjednik. 'Trenirali smo specifično za ovu borbu i strategija je funkcionirala savršeno.' Navijači i stručnjaci slažu se — Mirko Filipović je spreman za borbu za naslov."
Jon Jones potvrdio formu: Tehnički nokaut u trećoj rundi,MMA,"Borba večeri na PFL eventu pružila je navijačima nezaboravnih trenutaka. Islam Makhachev je pokazao sve dimenzije svog borilačkog umijeća. 'Conor McGregor je bio izvanredan protivnik. Morao sam dati sve od sebe i na kraju sam zadovoljan nastupom', rekao je Islam Makhachev nakon borbe microfona. Borba je bila obilježena uzbudljivim izmjenama udaraca u stajaćem, ali i sjajnom grappling igrom obojice boraca. Publika je bila na nogama kroz gotovo cijeli dvoboj, a promotori već govore o potencijalnom rematch-u. PFL već razmatra sljedeći korak za Islam Makhachev koji ostaje jedan od najtraženijih boraca na sceni."
NBA drama: Cavaliers slavio u produžetku zahvaljujući Rudy Gobert,Košarka,"Hrvatski reprezentativac Bojan Bogdanović još jednom je pokazao svoju klasu u NBA utakmici. Završio je s impresivnih 41 poena dok je njegova momčad slavila. Meč je bio obilježen izvanrednom atmosferom u dvorani. Celtics je od prve četvrtine pokazao da je spreman za pobjedu. Obrana je bila na iznimno visokoj razini, što je onemogućilo Raptors da ostvari svoju igru u napadu. U završnici su hladnokrvno izveli ključne poteze i osigurali vrijednu pobjedu na domaćem parketu. Bojan Bogdanović nakon utakmice: 'Ovo je posebna noć za mene i cijelu ekipu. Idemo dalje, još nam je puno posla pred sobom.'"
